day,equity
0,10000.3
1,10003.3
2,9998.93
3,9997.03
4,9995.8
5,9999.6
6,9992.61
7,9985.37
8,9992.26
9,9999.35
10,10006.5
11,10014.3
12,10023.5
13,10032.1
14,10024.1
15,10031.1
16,10025.5
17,10030.2
18,10026.4
19,10023.4
20,10022.3
21,10022.8
22,10023.6
23,10025.9
24,10022.8
25,10027.8
26,10021
27,10030.6
28,10042
29,10030.5
30,10040.9
31,10032.6
32,10037.4
33,10037.3
34,10035.9
35,10040.3
36,10035.6
37,10030.9
38,10029.8
39,10031
40,10027
41,10022.6
42,10027.6
43,10031.7
44,10029.2
45,10028.6
46,10029.6
47,10029.9
48,10032
49,10036
50,10032.2
51,10036.5
52,10041.2
53,10036.8
54,10034.8
55,10036.6
56,10035.4
57,10036.2
58,10037
59,10039.5
60,10037.3
61,10039.8
62,10038.2
63,10039
64,10037.5
65,10036.2
66,10039.1
67,10043.1
68,10039.9
69,10037.7
70,10040.1
71,10041.5
72,10041.4
73,10043.2
74,10044.9
75,10047.6
76,10043.9
77,10039.6
78,10043.4
79,10040.5
80,10040
81,10039.8
82,10040.6
83,10043.1
84,10039.9
85,10042.3
86,10039.7
87,10043.4
88,10047.4
89,10052.7
90,10058.7
91,10053.3
92,10050
93,10052.4
94,10053.8
95,10053.9
96,10053.8
97,10054.5
98,10052.8
99,10056.6
100,10061.3
101,10057.1
102,10055
103,10054.2
104,10057.6
105,10051
106,10044
107,10051
108,10058.4
109,10054.5
110,10058.1
111,10053.9
112,10051.1
113,10051.3
114,10053.5
115,10047.5
116,10057.2
117,10068
118,10078.3
119,10069.7
120,10062.7
121,10058.8
122,10058.7
123,10062.4
124,10057.8
125,10053.7
126,10050.7
127,10051.6
128,10050.5
129,10049.8
130,10049.8
131,10051.4
132,10054.3
133,10052.4
134,10054.3
135,10052.1
136,10053.6
137,10053.4
138,10053.3
139,10052.5
140,10052.3
141,10055
142,10064.2
143,10084.6
144,10115.1
145,10082.1
146,10053.3
147,10032.7
148,10041.5
149,10043.2
150,10044.5
151,10044.8
152,10047.5
153,10047.2
154,10043.3
155,10048.6
156,10055.5
157,10045.9
158,10055.8
159,10068.7
160,10054.7
161,10042.8
162,10054
163,10046.8
164,10044
165,10045
166,10046.6
167,10052.8
168,10044.9
169,10038.4
170,10033.8
171,10032.8
172,10040.2
173,10026.8
174,10043.3
175,10062.6
176,10082.1
177,10099.1
178,10084.4
179,10073.3
180,10082.3
181,10090.2
182,10096.9
183,10090.5
184,10084.6
185,10090.3
186,10096.4
187,10090.3
188,10084.4
189,10092.1
190,10085
191,10080.4
192,10084.8
193,10089.6
194,10086.3
195,10084.2
196,10082.7
197,10084
198,10080.4
199,10085.9
200,10094.4
201,10106.5
202,10094.6
203,10106.6
204,10096.9
205,10103
206,10101.7
207,10101.2
208,10103.4
209,10101.9
210,10103.1
211,10103.1
212,10103.5
213,10104.2
214,10107.6
215,10104.4
216,10107.6
217,10112.8
218,10119.2
219,10113.9
220,10123
221,10112.3
222,10102.6
223,10096.7
224,10101.9
225,10106.2
226,10103
227,10100.6
228,10098.4
229,10098.5
230,10094.8
231,10101.6
232,10094.6
233,10090.3
234,10089.9
235,10087.9
236,10094.8
237,10107.6
238,10125.1
239,10105.8
240,10086.1
241,10107.7
242,10090.2
243,10105.5
244,10092.1
245,10106.7
246,10095.6
247,10088
248,10091.8
249,10092.8
250,10087.7
251,10095.8
252,10106.7
253,10091.8
254,10078.4
