Date,macd_scaled,rsi_scaled,target
2015-01-22,0.6259840048478635,0.5102823297125118,0
2015-01-23,0.6308168016628309,0.4869341031717707,1
2015-01-26,0.6356484808625463,0.5816025061808889,0
2015-01-27,0.6341679515672138,0.5608317208165275,0
2015-01-28,0.627974511019836,0.4483782302892734,1
2015-01-29,0.6268868754693616,0.4034410222252992,0
2015-01-30,0.6212018727790238,0.38661701292396466,1
2015-02-02,0.6218057615202441,0.48012281083364566,1
2015-02-03,0.6282124587838769,0.5516452761387968,0
2015-02-04,0.6318357755090331,0.5615570031306217,1
2015-02-05,0.6388072294254195,0.6400149161877559,0
2015-02-06,0.6431642895694321,0.5821918651112195,0
2015-02-09,0.6447367495332694,0.5514739051452999,1
2015-02-10,0.6501896669873427,0.5728739549039676,1
2015-02-11,0.6545805112528488,0.515379013482788,1
2015-02-12,0.6617567212368373,0.5842458784418649,1
2015-02-13,0.6688171077925222,0.5912238057163357,1
2015-02-17,0.6746669158637287,0.675287469873411,1
2015-02-18,0.6788936570381139,0.7708924703528718,0
2015-02-19,0.6814670267703209,0.7367491887707197,1
2015-02-20,0.6854813601692614,0.8784786487036306,0
2015-02-23,0.68804862730493,0.8492102598253466,1
2015-02-24,0.6906885991177818,0.8128169090257235,0
2015-02-25,0.6918256636544384,0.8583840300044825,0
2015-02-26,0.6916347156640531,0.7960011673562378,0
2015-02-27,0.6894841745693138,0.7829133032459238,1
2015-03-02,0.6898432436317499,0.8922678644602942,0
2015-03-03,0.6878494597272461,0.7630130124611237,0
2015-03-04,0.6839958998298957,0.6838935032354716,1
2015-03-05,0.6809258748608614,0.6037583358057389,0
2015-03-06,0.6722481947425301,0.3710079637642507,1
2015-03-09,0.666767953043624,0.40502902566475146,0
2015-03-10,0.6555395402175942,0.29364939961550457,0
2015-03-11,0.6456233133290051,0.2857388451550445,1
2015-03-12,0.6428887138313869,0.3510500509884628,0
2015-03-13,0.6382219677981843,0.3216508237316232,1
2015-03-16,0.6399785654026734,0.40340486120731656,0
2015-03-17,0.6401384883017411,0.39317970503177885,1
2015-03-18,0.6451646990107458,0.47308271128686297,0
2015-03-19,0.6471603661723352,0.4673723856125482,1
2015-03-20,0.652268443488995,0.4806454192680563,0
2015-03-23,0.6553222165732462,0.49167157669124595,0
2015-03-24,0.6552149857878805,0.48451482258444517,0
2015-03-25,0.6489286315246744,0.4143041069466585,0
2015-03-26,0.6429357535223302,0.4646172166632197,1
2015-03-27,0.6391322627387992,0.45457303704608654,1
2015-03-30,0.6411062322680989,0.6030876107009732,0
2015-03-31,0.6390541137759087,0.5644304628776781,0
2015-04-01,0.6360182983452486,0.48362359891475126,1
2015-04-02,0.6351424391371605,0.537198075915294,1
2015-04-06,0.637249149426064,0.5012960482212553,0
2015-04-07,0.6378469563685437,0.503260211533768,1
2015-04-08,0.6397182443499911,0.4467525649056702,1
2015-04-09,0.6429994210475541,0.5068132926209823,1
2015-04-10,0.6477811481328936,0.4838127089387329,0
2015-04-13,0.6495665594567219,0.46672603492113507,1
2015-04-14,0.6516438271879202,0.5189619589703567,1
2015-04-15,0.654989752973882,0.679336116355646,0
2015-04-16,0.6573214821070377,0.7026530381920135,0
2015-04-17,0.654182917343606,0.5742377391960996,1
2015-04-20,0.6553046616144982,0.5550490055252087,0
2015-04-21,0.655516005170791,0.6267817854442806,1
2015-04-22,0.6575332349215839,0.6947330089713029,1
2015-04-23,0.6599571864141431,0.6893016133920368,1
2015-04-24,0.6625936251221429,0.6639378448271896,0
2015-04-27,0.6626673731985763,0.6454325600252218,1
2015-04-28,0.6637861313003132,0.6445027412400677,0
2015-04-29,0.6626771467353282,0.5680650874483559,0
2015-04-30,0.6573923563666327,0.43308634876867885,1
2015-05-01,0.6575052535634691,0.5555446661609401,1
2015-05-04,0.6585755543927315,0.5619366880915894,0
2015-05-05,0.6544343996785487,0.4461660198771796,0
2015-05-06,0.6493304305842447,0.4235303667203368,1
2015-05-07,0.6468596764423377,0.5277916065716703,1
2015-05-08,0.6502627473938457,0.5538652270837605,0
2015-05-11,0.6508216289637189,0.5276574879805231,0
2015-05-12,0.6498942687134044,0.4754660009654296,1
2015-05-13,0.6491332391806065,0.45876139863211723,1
2015-05-14,0.652746593034782,0.5128602839611379,1
2015-05-15,0.6558846591091709,0.5477407707282606,1
2015-05-18,0.659461931365027,0.5474628731105481,0
2015-05-19,0.6619042416826801,0.5758138349515051,0
2015-05-20,0.663272053797866,0.6583290574803063,1
2015-05-21,0.6652993195735818,0.6109778088258463,0
2015-05-22,0.6655938413122978,0.5656247965279526,0
2015-05-26,0.6610211082821644,0.5717895302571786,1
2015-05-27,0.6611381909430515,0.675937912907919,0
2015-05-28,0.660515528167817,0.6407681995279368,0
2015-05-29,0.6571928014100418,0.4745552345115475,1
2015-06-01,0.6552400749453472,0.5416844957137933,0
2015-06-02,0.6531221780360698,0.5640964330196808,1
2015-06-03,0.6524156792463441,0.5854387903294346,0
2015-06-04,0.6481937923463194,0.39496859577027577,0
2015-06-05,0.644082919223943,0.3677669959100684,0
2015-06-08,0.6382735115271588,0.2857853423352465,0
2015-06-09,0.6336818099279158,0.2868994118269249,1
2015-06-10,0.6350807839490201,0.42264565405593874,1
2015-06-11,0.6375720172469967,0.42523485965481994,0
2015-06-12,0.6363593152084859,0.3913073571157783,0
2015-06-15,0.6336770840301216,0.4346454541672818,1
2015-06-16,0.6338928987496191,0.3951191021396718,1
2015-06-17,0.6348005428781036,0.4196297688674677,1
2015-06-18,0.6398847052059622,0.5591824186210507,0
